"cole_cod_mcpio_ubicacion","cole_mcpio_ubicacion"
"15638","SACHICA"
"15092","BETEITIVA"
"15215","CORRALES"
"15778","SUTATENZA"
"15212","COPER"
"15466","MONGUÍ"
"15580","QUIPAMA"
"15804","TIBANÁ"
"15664","SAN JOSÉ DE PARE"
"15464","MONGUA"
"15621","RONDÓN"
"15226","CUÍTIVA"
"15879","VIRACACHÁ"
"15776","SUTAMARCHÁN"
"15248","EL ESPINO"
"15808","TINJACA"
"15550","PISBA"
"15763","SOTAQUIRÁ"
"15681","SAN PABLO DE BORBUR"
"15425","MACANAL"
"15325","GUAYATÁ"
"15686","SANTANA"
"15723","SATIVASUR"
"15187","CHIVATA"
"15236","CHIVOR"
"15232","CHÍQUIZA"
"15757","SOCHA"
"15131","CALDAS"
"15774","SUSACÓN"
"15820","TÓPAGA"
"15087","BELEN"
"15087","BELÉN"
"15814","TOCA"
"15204","COMBITA"
"15325","GUAYATA"
"15189","CIENEGA"
"15516","PAIPA"
"15135","CAMPOHERMOSO"
"15494","NUEVO COLÓN"
"15162","CERINZA"
"15317","GUACAMAYAS"
"15740","SIACHOQUE"
"15621","RONDON"
"15218","COVARACHIA"
"15244","EL COCUY"
"15522","PANQUEBA"
"15232","CHIQUIZA"
"15774","SUSACON"
"15272","FIRAVITOBA"
"15842","ÚMBITA"
"15600","RÁQUIRA"
"15455","MIRAFLORES"
"15835","TURMEQUE"
"15550","PISVA"
"15537","PAZ DE RÍO"
"15839","TUTAZÁ"
"15696","SANTA SOFÍA"
"15380","LA CAPILLA"
"15293","GACHANTIVA"
"15511","PACHAVITA"
"15755","SOCOTA"
"15835","TURMEQUÉ"
"15810","TIPACOQUE"
"15673","SAN MATEO"
"15092","BETÉITIVA"
"15667","SAN LUIS DE GACENO"
"15599","RAMIRIQUÍ"
"15109","BUENAVISTA"
"15051","ARCABUCO"
"15180","CHISCAS"
"15514","PÁEZ"
"15762","SORA"
"15507","OTANCHE"
"15332","GUICAN"
"15176","CHIQUINQUIRÁ"
"15114","BUSBANZÁ"
"15599","RAMIRIQUI"
"15187","CHIVATÁ"
"15533","PAYA"
"15104","BOYACÁ"
"15001","TUNJA"
"15090","BERBEO"
"15808","TINJACÁ"
"15218","COVARACHÍA"
"15764","SORACÁ"
"15664","SAN JOSE DE PARE"
"15537","PAZ DE RIO"
"15879","VIRACACHA"
"15442","MARIPI"
"15296","GÁMEZA"
"15822","TOTA"
"15632","SABOYA"
"15097","BOAVITA"
"15500","OICATA"
"15403","LA UVITA"
"15804","TIBANA"
"15407","VILLA DE LEYVA"
"15204","CÓMBITA"
"15755","SOCOTÁ"
"15690","SANTA MARÍA"
"15720","SATIVANORTE"
"15223","CUBARÁ"
"15690","SANTA MARIA"
"15820","TOPAGA"
"15696","SANTA SOFIA"
"15047","AQUITANIA"
"15531","PAUNA"
"15764","SORACA"
"15693","SANTA ROSA DE VITERBO"
"15763","SOTAQUIRA"
"15753","SOATA"
"15776","SUTAMARCHAN"
"15401","LA VICTORIA"
"15638","SÁCHICA"
"15106","BRICEÑO"
"15491","NOBSA"
"15480","MUZO"
"15377","LABRANZAGRANDE"
"15224","CUCAITA"
"15494","NUEVO COLON"
"15816","TOGUI"
"15238","DUITAMA"
"15572","PUERTO BOYACÁ"
"15790","TASCO"
"15367","JENESANO"
"15542","PESCA"
"15368","JERICÓ"
"15632","SABOYÁ"
"15600","RAQUIRA"
"15839","TUTASA"
"15646","SAMACÁ"
"15580","QUÍPAMA"
"15500","OICATÁ"
"15842","UMBITA"
"15646","SAMACA"
"15806","TIBASOSA"
"15322","GUATEQUE"
"15185","CHITARAQUE"
"15798","TENZA"
"15223","CUBARA"
"15299","GARAGOA"
"15022","ALMEIDA"
"15660","SAN EDUARDO"
"15226","CUITIVA"
"15183","CHITA"
"15172","CHINAVITA"
"15442","MARIPÍ"
"15104","BOYACA"
"15368","JERICO"
"15832","TUNUNGUÁ"
"15759","SOGAMOSO"
"15676","SAN MIGUEL DE SEMA"
"15816","TOGÜÍ"
"15753","SOATÁ"
"15837","TUTA"
"15897","ZETAQUIRA"
"15761","SOMONDOCO"
"15572","PUERTO BOYACA"
"15362","IZA"
"15466","MONGUI"
"15514","PAEZ"
"15276","FLORESTA"
"15469","MONIQUIRÁ"
"15518","PAJARITO"
"15296","GAMEZA"
"15332","GÜICÁN DE LA SIERRA"
"15293","GACHANTIVÁ"
"15189","CIÉNEGA"
"15469","MONIQUIRA"
"15861","VENTAQUEMADA"
"15476","MOTAVITA"
"15176","CHIQUINQUIRA"
"15832","TUNUNGUA"
"15114","BUSBANZA"
