"estu_cod_mcpio_presentacion","estu_mcpio_presentacion"
"15693","SANTA ROSA DE VITERBO"
"68755","SOCORRO"
"95001","SAN JOSÉ DEL GUAVIARE"
"25126","CAJICÁ"
"73001","IBAGUÉ"
"50006","ACACÍAS"
"41001","NEIVA"
"68001","BUCARAMANGA"
"25183","CHOCONTÁ"
"5266","ENVIGADO"
"66001","PEREIRA"
"15455","MIRAFLORES"
"15176","CHIQUINQUIRÁ"
"85010","AGUAZUL"
"5001","MEDELLÍN"
"68276","FLORIDABLANCA"
"97001","MITÚ"
"15238","DUITAMA"
"15572","PUERTO BOYACÁ"
"25754","SOACHA"
"68679","SAN GIL"
"5154","CAUCASIA"
"15757","SOCHA"
"86320","ORITO"
"91001","LETICIA"
"15516","PAIPA"
"8001","BARRANQUILLA"
"25290","FUSAGASUGÁ"
"15531","PAUNA"
"15001","TUNJA"
"25175","CHÍA"
"25394","LA PALMA"
"5088","BELLO"
"70001","SINCELEJO"
"54720","SARDINATA"
"15835","TURMEQUÉ"
"85001","YOPAL"
"63001","ARMENIA"
"85139","MANÍ"
"54001","CÚCUTA"
"25307","GIRARDOT"
"15759","SOGAMOSO"
"25843","VILLA DE SAN DIEGO DE UBATÉ"
"68167","CHARALÁ"
"15753","SOATÁ"
"15837","TUTA"
"81736","SARAVENA"
"15332","GÜICÁN DE LA SIERRA"
"11001","BOGOTÁ D.C."
"25430","MADRID"
"15861","VENTAQUEMADA"
"68077","BARBOSA"
"85225","NUNCHÍA"
"47001","SANTA MARTA"
"25899","ZIPAQUIRÁ"
"15507","OTANCHE"
"15469","MONIQUIRÁ"
"76001","CALI"
"68669","SAN ANDRÉS"
"25269","FACATATIVÁ"
"15599","RAMIRIQUÍ"
"15667","SAN LUIS DE GACENO"
"5120","CÁCERES"
"15480","MUZO"
"20001","VALLEDUPAR"
"15244","EL COCUY"
"17001","MANIZALES"
"19001","POPAYÁN"
"54810","TIBÚ"
"15322","GUATEQUE"
"25286","FUNZA"
"99001","PUERTO CARREÑO"
"15646","SAMACÁ"
"15299","GARAGOA"
"54874","VILLA DEL ROSARIO"
"15183","CHITA"
"73449","MELGAR"
"5615","RIONEGRO"
"13001","CARTAGENA DE INDIAS"
"15097","BOAVITA"
"25473","MOSQUERA"
"25402","LA VEGA"
"15407","VILLA DE LEYVA"
"15204","CÓMBITA"
"25386","LA MESA"
